Age	Baths	DaysOffMkt	Garage	GLA	GolfCourse	LotSize	OceanView	Sum
-546809.2978	47066.74095	-1760770.236	-222185.9057	-487914.1742	0	2105347.103	0	1134908.787
-457793.8307	47066.74095	-2312511.568	-33940.13176	-487914.1742	0	2105347.103	0	860428.6962
-546809.2978	23533.37048	-1725684.548	-33940.13176	-506119.9269	0	2077399.901	0	1288553.924
-546809.2978	70600.11143	-1761625.985	-33940.13176	-638761.84	0	2079720.562	0	1169357.976
-534092.8025	23533.37048	-1711466.514	-33940.13176	-468668.0927	156094.854	2060084.638	215384.4597	1707104.339
-470510.326	47066.74095	-2135128.407	-33940.13176	-487914.1742	156094.854	2060084.638	0	1135927.751
-546809.2978	47066.74095	-1851693.178	-33940.13176	-442218.3891	156094.854	2044456.046	0	1373131.202
-495943.3166	47066.74095	-2466848.234	-33940.13176	-487914.1742	156094.854	2054474.374	0	773164.6701
-521376.3072	47066.74095	-2068111.356	-33940.13176	-207550.9392	156094.854	2074110.298	0	1446467.715
-559525.7931	47066.74095	-1859677.321	-33940.13176	-487914.1742	0	2082525.694	0	1188709.572
-559525.7931	23533.37048	-1852335.325	-33940.13176	-526926.5015	156094.854	2060084.638	0	1267159.668
-394211.3542	47066.74095	-1786496.057	-33940.13176	-454103.4905	0	2082911.711	0	1461401.975
-419644.3448	47066.74095	-1792225.076	-33940.13176	-459305.1341	0	2082911.711	0	1425038.322
-381494.8589	47066.74095	-1907102.243	-33940.13176	-459305.1341	0	2082911.711	0	1348310.641
-559525.7931	47066.74095	-1611654.065	0	-443064.1271	0	2064235.605	0	1497232.918
-508659.8119	47066.74095	-2041269.107	0	-443064.1271	0	2064235.605	0	1118483.857
-483226.8213	23533.37048	-2234411.657	-33940.13176	-454103.4905	0	2033150.166	0	851175.993
-546809.2978	47066.74095	-1535847.142	-33940.13176	-421074.9372	0	2060321.056	0	1569890.845
-559525.7931	47066.74095	-1302239.092	-33940.13176	-430139.8996	0	2060321.056	0	1781717.437
-495943.3166	70600.11143	-1997404.943	-33940.13176	-620556.0872	0	2177432.125	0	1100362.314
-483226.8213	121664.485	-2079895.759	-33940.13176	286983.8847	156094.854	2344671.47	0	2312526.539
-508659.8119	0	-1919243.806	-33940.13176	-189342.8888	156094.854	2562230.489	0	2067313.262
-495943.3166	23533.37048	-2017045.614	-33940.13176	-189342.8888	156094.854	2562230.489	0	2005761.319
-546809.2978	23533.37048	-1788095.346	-33940.13176	-38735.33795	156094.854	2252018.349	0	2024241.016
-495943.3166	23533.37048	-1929766.493	-33940.13176	-431223.7941	156094.854	2323719.424	0	1612648.471
-559525.7931	23533.37048	-1192889.979	0	-441372.651	0	2059733.52	0	1889653.024
-559525.7931	47066.74095	-1270358.549	-33940.13176	-425494.4504	0	2637519.607	0	2395441.98
-152597.9436	23533.37048	-2288326.481	-222185.9057	-131684.0626	156094.854	2457854.048	215384.4597	2058246.897
-228896.9153	23533.37048	-1775981.474	-67880.26351	-139546.6298	156094.854	2522516.775	215384.4597	2705398.734
-165314.4389	23533.37048	-2229343.319	-67880.26351	-127132.05	156094.854	2522516.775	215384.4597	2328033.945
-190747.4295	23533.37048	-1852869.931	-67880.26351	-100509.6733	156094.854	2249285.602	215384.4597	2432465.546
0	23533.37048	-2374840.967	-222185.9057	-100509.6733	156094.854	2249285.602	215384.4597	1946936.297
-152597.9436	23533.37048	-2357287.303	-222185.9057	-100509.6733	156094.854	2249285.602	215384.4597	1811892.018
-101731.9624	0	-2372779.116	-222185.9057	466691.042	156094.854	2540805.93	215384.4597	2682453.859
-127164.953	183131.4097	-2324687.642	-222185.9057	107276.7274	156094.854	2447244.439	215384.4597	2435267.946
-139881.4483	183131.4097	-2167514.783	-67880.26351	183090.6844	156094.854	2575304.053	215384.4597	2937903.523
-165314.4389	183131.4097	-1805113.119	-67880.26351	131144.0842	156094.854	2415983.142	215384.4597	3063604.685
